link,headline,category,short_description,authors,date,sentiment,score
https://www.huffpost.com/entry/covid-boosters-uptake-us_n_632d719ee4b087fae6feaac9,Over 4 Million Americans Roll Up Sleeves For Omicron-Targeted COVID Boosters,U.S. NEWS,Health experts said it is too early to predict whether demand would match up with the 171 million doses of the new boosters the U.S. ordered for the fall.,"Carla K. Johnson, AP",2022-09-23,NEGATIVE,0.9595887660980225
https://www.huffpost.com/entry/american-airlines-passenger-banned-flight-attendant-punch-justice-department_n_632e25d3e4b0e247890329fe,"American Airlines Flyer Charged, Banned For Life After Punching Flight Attendant On Video",U.S. NEWS,"He was subdued by passengers and crew when he fled to the back of the aircraft after the confrontation, according to the U.S. attorney's office in Los Angeles.",Mary Papenfuss,2022-09-23,NEGATIVE,0.9949801564216614
https://www.huffpost.com/entry/funniest-tweets-cats-dogs-september-17-23_n_632de332e4b0695c1d81dc02,23 Of The Funniest Tweets About Cats And Dogs This Week (Sept. 17-23),COMEDY,"""Until you have a dog you don't understand what could be eaten.""",Elyse Wanshel,2022-09-23,POSITIVE,0.9980806112289429
https://www.huffpost.com/entry/funniest-parenting-tweets_l_632d7d15e4b0d12b5403e479,The Funniest Tweets From Parents This Week (Sept. 17-23),PARENTING,"""Accidentally put grown-up toothpaste on my toddler’s toothbrush and he screamed like I was cleaning his teeth with a Carolina Reaper dipped in Tabasco sauce.""",Caroline Bologna,2022-09-23,POSITIVE,0.9988833069801331
https://www.huffpost.com/entry/amy-cooper-loses-discrimination-lawsuit-franklin-templeton_n_632c6463e4b09d8701bd227e,Woman Who Called Cops On Black Bird-Watcher Loses Lawsuit Against Ex-Employer,U.S. NEWS,Amy Cooper accused investment firm Franklin Templeton of unfairly firing her and branding her a racist after video of the Central Park encounter went viral.,Nina Golgowski,2022-09-22,NEGATIVE,0.9964162111282349
https://www.huffpost.com/entry/belk-worker-found-dead-columbiana-centre-bathroom_n_632c5f8ce4b0572027b0251d,Cleaner Was Dead In Belk Bathroom For 4 Days Before Body Found: Police,U.S. NEWS,"The 63-year-old woman was seen working at the South Carolina store on Thursday. She was found dead Monday after her family reported her missing, authorities said.",,2022-09-22,NEGATIVE,0.9930574893951416
https://www.huffpost.com/entry/reporter-gets-adorable-surprise-from-her-boyfriend-while-working-live-on-tv_n_632ccf43e4b0572027b10d74,Reporter Gets Adorable Surprise From Her Boyfriend While Live On TV,U.S. NEWS,"""Who's that behind you?"" an anchor for New York’s PIX11 asked journalist Michelle Ross as she finished up an interview.",Elyse Wanshel,2022-09-22,POSITIVE,0.9994897842407227
https://www.huffpost.com/entry/puerto-rico-water-hurricane-fiona_n_632bdfd8e4b0d12b54014e13,Puerto Ricans Desperate For Water After Hurricane Fiona’s Rampage,WORLD NEWS,More than half a million people remained without water service three days after the storm lashed the U.S. territory.,"DÁNICA COTO, AP",2022-09-22,NEGATIVE,0.9357134103775024
https://www.huffpost.com/entry/mija-documentary-immigration-isabel-castro-interview_n_632329aee4b000d98858dbda,How A New Documentary Captures The Complexity Of Being A Child Of Immigrants,CULTURE & ARTS,"In ""Mija,"" director Isabel Castro combined music documentaries with the style of ""Euphoria"" and ""Clueless"" to tell a more nuanced immigration story.",Marina Fang,2022-09-22,POSITIVE,0.9995064735412598
https://www.huffpost.com/entry/biden-un-russian-war-an-affront-to-bodys-charter_n_632ad9e3e4b0bfdf5e1bf5f7,Biden At UN To Call Russian War An Affront To Body's Charter,WORLD NEWS,White House officials say the crux of the president's visit to the U.N. this year will be a full-throated condemnation of Russia and its brutal war.,"Aamer Madhani, AP",2022-09-21,NEGATIVE,0.9664456248283386
https://www.huffpost.com/entry/bc-soc-wcup-captains-armbands_n_632b1c98e4b0913a3dd7554a,World Cup Captains Want To Wear Rainbow Armbands In Qatar,WORLD NEWS,FIFA has come under pressure from several European soccer federations who want to support a human rights campaign against discrimination at the World Cup.,"GRAHAM DUNBAR, AP",2022-09-21,POSITIVE,0.7479456067085266
https://www.huffpost.com/entry/man-sets-fire-protest-abe-funeral_n_632ae462e4b07198f0146afd,Man Sets Himself On Fire In Apparent Protest Of Funeral For Japan's Abe,WORLD NEWS,"The incident underscores a growing wave of protests against the funeral for Shinzo Abe, who was one of the most divisive leaders in postwar Japanese politics.","Mari Yamaguchi, AP",2022-09-21,NEGATIVE,0.9386030435562134
https://www.huffpost.com/entry/fiona-threatens-to-become-category-4-storm-headed-to-bermuda_n_632ad1cae4b07198f0143244,Fiona Threatens To Become Category 4 Storm Headed To Bermuda,WORLD NEWS,Hurricane Fiona lashed the Turks and Caicos Islands and was forecast to squeeze past Bermuda later this week.,"Dánica Coto, AP",2022-09-21,NEGATIVE,0.9944677352905273
https://www.huffpost.com/entry/twitch-streamers-threaten-strike-gambling_n_632a72bce4b0cd3ec2628b20,"Twitch Bans Gambling Sites After Streamer Scams Folks Out Of $200,000",TECH,One man's claims that he scammed people on the platform caused several popular streamers to consider a Twitch boycott.,Ben Blanchet,2022-09-21,NEGATIVE,0.9989354014396667
https://www.huffpost.com/entry/virginia-thomas-agrees-to-interview-with-jan-6-panel_n_632ba0f2e4b09d8701bbe16d,Virginia Thomas Agrees To Interview With Jan. 6 Panel,U.S. NEWS,"Conservative activist Virginia Thomas, the wife of Supreme Court Justice Clarence Thomas, has agreed to participate in a voluntary interview with the House panel investigating the Jan. 6 insurrection.","Eric Tucker and Mary Clare Jalonick, AP",2022-09-21,POSITIVE,0.9675191640853882
https://www.huffpost.com/entry/valery-polyakov-dies_n_6329d497e4b0913a3dd5336c,Russian Cosmonaut Valery Polyakov Who Broke Record With 437-Day Stay In Space Dies At 80,WORLD NEWS,"Polyakov's record-breaking trip to outer space saw him orbit Earth 7,075 times and travel nearly 187 million miles.",Marco Margaritoff,2022-09-20,NEGATIVE,0.9023329019546509
https://www.huffpost.com/entry/hulu-reboot-should-you-watch-it_n_6324a099e4b0eac9f4e18b46,'Reboot' Is A Clever And Not Too Navel-Gazey Look Inside TV Reboots,CULTURE & ARTS,"Starring Keegan-Michael Key, Judy Greer and Johnny Knoxville, the Hulu show follows the revival of a fictional early 2000s sitcom.",Marina Fang and Candice Frederick,2022-09-20,POSITIVE,0.9995408058166504
https://www.huffpost.com/entry/dodgers-baseball-obit-wills_n_6329feb3e4b07198f0134500,"Maury Wills, Base-Stealing Shortstop For Dodgers, Dies At 89",SPORTS,"Maury Wills, who helped the Los Angeles Dodgers win three World Series titles with his base-stealing prowess, has died.","Beth Harris, AP",2022-09-20,NEGATIVE,0.9974665641784668
https://www.huffpost.com/entry/russian-controlled-ukrainian-regions-referendum_n_6329d53ae4b07198f012f023,4 Russian-Controlled Ukrainian Regions Schedule Votes This Week To Join Russia,WORLD NEWS,The concerted and quickening Kremlin-backed efforts to swallow up four regions could set the stage for Moscow to escalate the war.,"Jon Gambrell, AP",2022-09-20,NEGATIVE,0.5847629308700562
https://www.huffpost.com/entry/hurricane-fiona-barrels-toward-turks-and-caicos-islands_n_63298597e4b0ed991abcacf9,Fiona Barrels Toward Turks And Caicos Islands As Category 3 Hurricane,WORLD NEWS,The Turks and Caicos Islands government imposed a curfew as the intensifying storm kept dropping copious rain over the Dominican Republic and Puerto Rico.,"Dánica Coto, AP",2022-09-20,NEGATIVE,0.9099868535995483
https://www.huffpost.com/entry/golden-globes-return-nbc_n_6329f151e4b0ed991abda7f3,Golden Globes Returning To NBC In January After Year Off-Air,ENTERTAINMENT,"For the past 18 months, Hollywood has effectively boycotted the Globes after reports that the HFPA’s 87 members of non-American journalists included no Black members.",,2022-09-20,NEGATIVE,0.9040279984474182
https://www.huffpost.com/entry/biden-us-forces-defend-taiwan-against-china_n_6327ec68e4b0ed021dfe3695,Biden Says U.S. Forces Would Defend Taiwan If China Invaded,POLITICS,President issues vow as tensions with China rise.,,2022-09-19,NEGATIVE,0.9763634204864502
https://www.huffpost.com/entry/hurricane-fiona_n_63281718e4b0ed021dfe4ff0,Hurricane Fiona Bears Down On Dominican Republic After Pounding Puerto Rico,WORLD NEWS,"The storm knocked out the power grid and unleashed floods and landslides in Puerto Rico, where the governor said the damage was “catastrophic.”","Danica Coto, AP",2022-09-19,POSITIVE,0.8820887804031372
https://www.huffpost.com/entry/national-championship-air-races-pilot-killed-crash_n_632860fae4b0ed021dfef140,One Dead After Plane Crashes At Reno Air Race,U.S. NEWS,"The single-engine plane was participating in the National Championship Air Races on Sunday when it crashed into a field, killing the pilot, officials said.",Nina Golgowski,2022-09-19,NEGATIVE,0.9874454736709595
https://www.huffpost.com/entry/ukraine-festival_n_6327b4a0e4b082746beb52c7,‘Beautiful And Sad At The Same Time’: Ukrainian Cultural Festival Takes On A Deeper Meaning This Year,POLITICS,An annual celebration took on a different feel as Russia's invasion dragged into Day 206.,Jonathan Nicholson,2022-09-19,POSITIVE,0.9985430240631104
https://www.huffpost.com/entry/mark-frerichs-release-us-taliban-prisoner-swap_n_63284bb2e4b000d9885d510b,Family Of American Held In Afghanistan Says He Was Freed By Taliban In Prisoner Swap,U.S. NEWS,"Mark Frerichs, a Navy veteran and civilian contractor, was kidnapped in Afghanistan in January 2020.","Eric Tucker and Rahim Faiez, AP",2022-09-19,NEGATIVE,0.9304848909378052
https://www.huffpost.com/entry/2022-wnba-finals_n_6327f56fe4b0eac9f4e3144d,"Las Vegas Aces Win First WNBA Title, Chelsea Gray Named MVP",SPORTS,Las Vegas never had a professional sports champion — until Sunday.,"Pat Eaton-Robb, AP",2022-09-19,POSITIVE,0.9982840418815613
https://www.huffpost.com/entry/queen-elizabeth-ii-world-leaders-funeral_n_63271396e4b046aa02404259,World Leaders Pay Respects To Queen Elizabeth II,WORLD NEWS,President Joe Biden and first lady Jill Biden were among thousands of mourners — from locals and tourists to royals and world leaders — to pay their respects.,"Mike Corder, Jill Lawless and Danica Kirka, AP",2022-09-18,POSITIVE,0.9996776580810547
https://www.huffpost.com/entry/james-cameron-fought-studio-avatar_n_63268723e4b046aa02400678,James Cameron Says He 'Clashed' With Studio Before 'Avatar' Release,ENTERTAINMENT,"The ""Avatar"" director said aspects of his 2009 movie are ""still competitive with everything that’s out there these days.""",Ben Blanchet,2022-09-18,NEGATIVE,0.993579626083374
https://www.huffpost.com/entry/french-spiderman-birthday-skyscraper-climb_n_6326a369e4b082746beadd58,'French Spider-Man' Celebrates 60th Birthday With A Massive Skyscraper Climb,WEIRD NEWS,"Alain Robert, known as the ""French Spider-Man,"" has climbed the Burj Khalifa and the Empire State Building.",Ben Blanchet,2022-09-18,POSITIVE,0.9996175765991211
https://www.huffpost.com/entry/europe-britain-royals-biden_n_63276eabe4b046aa02406a13,Biden Says Queen's Death Left 'Giant Hole' For Royal Family,POLITICS,"U.S. President Joe Biden, in London for the funeral of Queen Elizabeth II, says his heart went out to the royal family, adding the queen’s death left a “giant hole.”.","Darlene Superville, AP",2022-09-18,NEGATIVE,0.9988365769386292
